Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  08/1944;0.3;0;0;0;0;0;0;0.1;0.1;0.3;0;0;0;0;0;0;0;0.7;0.8;0;0.1;0.3;0.3;0.4;0.3;0;0;0;0;0;0.1;0.8;3.8
  09/1944;2;0.4;0.6;0.2;0.2;0.1;41.5;6.3;0.4;0.3;0.2;0.3;0;0;0;0;0;0.5;0;0;0;0;0;0.2;0;1.6;0;0.1;0.1;0;---;41.5;55
  10/1944;0;0;0;0;0;0;0;0;0;0.1;0;0.7;6.5;5.9;0;4.8;0.1;0.1;1.7;5.1;0;0.3;0.3;0.2;18.4;24.9;0;1.3;0;0.6;0;24.9;71
  11/1944;0;0;2.8;0;5;22.9;29.3;8.8;0.2;0;0;0;5.5;6.8;11.8;0;0;0;0;5.5;2;0.1;27.6;2;13.7;21.8;4.8;0;0;2.2;---;29.3;172.8
  12/1944;0;0.7;21.7;16.2;1.3;3.6;0;0;0;9.1;3.8;0;0;0;0.3;0;4.9;1;0;0;4.1;0;4;10.4;1;8.9;4.8;0.2;0.1;0.3;0;21.7;96.4
  01/1945;0;30.3;4.1;0;2.9;15;2.9;6.9;0.3;0;0;0.2;0.3;0.4;0.6;0;12.8;0;0;40.3;0.1;23.3;1.4;0.1;0;0.1;0;4;64;23.7;3.3;64;237
  02/1945;54.7;22.6;11.8;0.5;0;0;17.2;0.5;2.5;22.7;0;0;0;0;0;0;9.1;2.9;0.8;9.6;9.5;10.4;21.3;0;0;0.3;5;0.7;---;---;---;54.7;202.1
  03/1945;1;0;19;14.9;5.7;0.4;0.1;0.3;15.6;7.1;0.1;0;0.2;0.3;0.6;0.2;1.2;1.8;0;0;11.6;0.2;0;1.3;2.7;3.7;2.2;5.3;0.1;0;0.2;19;95.8
  04/1945;0;0.4;1.4;13.7;1.4;0.4;0;0.5;0.1;0;0.1;0;23.2;0.3;0.1;0.4;0;0;0.2;11.1;0.2;0.4;0.2;0.2;0.2;0;0.1;0;0.5;10.3;---;23.2;65.4
  05/1945;1.4;0.3;0.1;0.1;0.1;0.1;0.3;0.1;0.2;0;0;5;0.1;0;0.7;0.6;0.9;13.6;0.8;1.2;0.2;0.3;0.4;0.4;0.4;0.1;0;7.7;0.4;0.2;0;13.6;35.7
  06/1945;0.3;0.1;0.3;0.1;2;5.5;3.1;0.3;0.2;0;0.1;0;0.2;0;0;0.2;0.3;0;0.1;19.8;71.9;0.2;41.7;23.5;23.8;1.2;0;0;0.2;0.1;---;71.9;195.2
  07/1945;0;0;0.3;0.3;19.8;0.3;7.5;0.2;0.3;0.2;12.9;1.3;0.6;0;0.2;0.2;0.1;0.2;0.3;0.4;0.5;0;0.1;0;0;0.2;0.1;0;0.2;0.1;0;19.8;46.3
